objectid,mode,lineabbr,month_,year_,servicetype,avgboardings,city,county
85,Fixed Route Bus - Regular,2,December,2023,WKD,1024.081068999999843,Salt Lake City,Salt Lake
86,Fixed Route Bus - Regular,2,February,2023,SUN,212.750000000000000,Salt Lake City,Salt Lake
87,Fixed Route Bus - Regular,2,November,2023,SUN,155.532000000000011,Salt Lake City,Salt Lake
88,Fixed Route Bus - Regular,2,May,2023,SUN,196.333333000000010,Salt Lake City,Salt Lake
89,Fixed Route Bus - Regular,2,October,2023,SAT,602.083333000000039,Salt Lake City,Salt Lake
90,Fixed Route Bus - Regular,2,April,2023,SUN,249.699999999999989,Salt Lake City,Salt Lake
91,Fixed Route Bus - Regular,2,March,2023,SAT,505.916667000000018,Salt Lake City,Salt Lake
92,Fixed Route Bus - Regular,2,July,2023,SAT,434.669047999999975,Salt Lake City,Salt Lake
93,Fixed Route Bus - Regular,2,September,2023,SAT,630.799999999999955,Salt Lake City,Salt Lake
94,Fixed Route Bus - Regular,2,June,2023,SUN,205.500000000000000,Salt Lake City,Salt Lake
95,Fixed Route Bus - Regular,2,September,2023,SUN,294.926667000000009,Salt Lake City,Salt Lake
96,Fixed Route Bus - Regular,2,November,2023,SAT,609.000000000000000,Salt Lake City,Salt Lake
97,Fixed Route Bus - Regular,2,May,2023,SAT,420.666667000000018,Salt Lake City,Salt Lake
98,Fixed Route Bus - Regular,2,December,2023,SUN,213.783332999999999,Salt Lake City,Salt Lake
99,Fixed Route Bus - Regular,2,August,2023,WKD,1319.470323999999891,Salt Lake City,Salt Lake
100,Fixed Route Bus - Regular,2,December,2022,SUN,195.066666999999995,Salt Lake City,Salt Lake
101,Fixed Route Bus - Regular,2,January,2022,SUN,247.699999999999989,Salt Lake City,Salt Lake
102,Fixed Route Bus - Regular,2,March,2022,WKD,1487.311502000000019,Salt Lake City,Salt Lake
103,Fixed Route Bus - Regular,2,June,2022,SAT,532.583333000000039,Salt Lake City,Salt Lake
104,Fixed Route Bus - Regular,2,July,2022,WKD,1147.475509000000102,Salt Lake City,Salt Lake
105,Fixed Route Bus - Regular,2,January,2022,WKD,1348.226208000000042,Salt Lake City,Salt Lake
106,Fixed Route Bus - Regular,2,September,2022,SAT,580.850000000000023,Salt Lake City,Salt Lake
107,Fixed Route Bus - Regular,2,October,2022,SAT,527.733333000000016,Salt Lake City,Salt Lake
108,Fixed Route Bus - Regular,2,August,2022,SUN,265.250000000000000,Salt Lake City,Salt Lake
109,Fixed Route Bus - Regular,2,July,2022,SAT,496.899999999999977,Salt Lake City,Salt Lake
110,Fixed Route Bus - Regular,2,July,2022,SUN,241.883332999999993,Salt Lake City,Salt Lake
111,Fixed Route Bus - Regular,2,December,2022,SAT,391.000000000000000,Salt Lake City,Salt Lake
112,Fixed Route Bus - Regular,2,January,2022,SAT,532.116666999999893,Salt Lake City,Salt Lake
113,Fixed Route Bus - Regular,2,August,2022,SAT,574.029999999999973,Salt Lake City,Salt Lake
114,Fixed Route Bus - Regular,2,April,2022,WKD,1513.661943000000065,Salt Lake City,Salt Lake
